Name,City,Income,Credit Score,Loan Amount,Years Employed,Loan Approved,Income to Loan Ratio,Credit Band,Employment Band,Income Band ,Approval Flag,Risk Indicator 
Trevor Fisher,South Andrewside,125647,353,23935,14,No,5,Poor,10+ Years,100k+,0,Medium
Rachael Pearson,East Jamestown,90217,456,16633,8,No,5,Poor,6–10 Years,80k–99k,0,Medium
Brian Gould,Lyonsstad,100284,471,40707,38,No,2,Poor,10+ Years,100k+,0,Medium
Michelle Strickland,West Daniel,46361,326,21444,36,No,2,Poor,10+ Years,40k–59k,0,Medium
Tina Sanders,North Brittany,79615,548,7678,19,No,10,Poor,10+ Years,60k–79k,0,Medium
Lindsay Martinez,West Amandastad,40328,370,34158,21,No,1,Poor,10+ Years,40k–59k,0,Medium
Jason Henry,Yumouth,102357,456,29540,11,No,3,Poor,10+ Years,100k+,0,Medium
Tracie Nelson,Marshallshire,68427,574,22122,15,No,3,Poor,10+ Years,60k–79k,0,Medium
Angelica Keith,Port Steven,138711,688,23046,1,Yes,6,Fair,0–2 Years,100k+,1,Medium
Frederick Freeman MD,Matthewview,112397,310,34857,12,No,3,Poor,10+ Years,100k+,0,Medium
Nathan Freeman,Lake Thomas,111070,802,30371,1,Yes,4,Excellent,0–2 Years,100k+,1,Low
Daniel Holt,Elizabethstad,146057,784,37272,33,Yes,4,Excellent,10+ Years,100k+,1,Low
Zachary Pierce,Jacquelineview,142945,613,17475,14,Yes,8,Fair,10+ Years,100k+,1,Medium
Corey Wilson,East Javier,77400,795,19120,37,Yes,4,Excellent,10+ Years,60k–79k,1,Low
Kelly Campbell,Port Jamesbury,105674,669,12759,19,Yes,8,Fair,10+ Years,100k+,1,Medium
Joseph Hill,New Kellyberg,55203,802,7723,0,Yes,7,Excellent,0–2 Years,40k–59k,1,Low
Julie Alexander,North Johnny,122349,789,8476,4,Yes,14,Excellent,3–5 Years,100k+,1,Low
Benjamin Soto,East Edwardshire,39116,611,6582,15,No,6,Fair,10+ Years,<40k,0,Medium
Phillip Obrien,Port Alexandra,36006,761,30014,19,Yes,1,Excellent,10+ Years,<40k,1,Medium
Wanda Torres,New Susanville,116673,512,41993,13,No,3,Poor,10+ Years,100k+,0,Medium
Brad Allen,East Aaronmouth,59871,781,20087,2,Yes,3,Excellent,0–2 Years,40k–59k,1,Low
Michael Warner,Jonesbury,131327,570,41963,37,No,3,Poor,10+ Years,100k+,0,Medium
Taylor Coleman,Lake Edward,67930,572,10321,4,No,7,Poor,3–5 Years,60k–79k,0,Medium
Ricky Larson,Scottmouth,40458,611,46857,25,No,1,Fair,10+ Years,40k–59k,0,Medium
Kathryn Snyder,New Billchester,142108,630,40564,16,Yes,4,Fair,10+ Years,100k+,1,Medium
Darryl Craig,Port Emilyview,60512,341,12481,30,No,5,Poor,10+ Years,60k–79k,0,Medium
Jessica Ramirez,Waltersfort,143571,393,31802,22,No,5,Poor,10+ Years,100k+,0,Medium
Frank Garcia,West Robert,43238,807,19888,25,Yes,2,Excellent,10+ Years,40k–59k,1,Low
Krista Gibson,Johnnyville,79823,713,34724,0,No,2,Good,0–2 Years,60k–79k,0,Low
Kimberly Gutierrez,New Michael,66434,810,41986,28,Yes,2,Excellent,10+ Years,60k–79k,1,Low
Christina Dunn,Samuelfort,89429,424,2891,40,No,31,Poor,10+ Years,80k–99k,0,Medium
Cynthia Moore,New Rickybury,113320,416,31241,7,No,4,Poor,6–10 Years,100k+,0,Medium
Brittany Cantu,Williamview,139328,725,32621,30,Yes,4,Good,10+ Years,100k+,1,Low
Juan Reyes,Port Chad,77819,724,23274,32,Yes,3,Good,10+ Years,60k–79k,1,Low
Aaron Barber,Grimesmouth,51319,795,23618,21,Yes,2,Excellent,10+ Years,40k–59k,1,Low
Kimberly Gibson,Mollybury,78520,692,16306,26,Yes,5,Fair,10+ Years,60k–79k,1,Medium
Patrick Thornton,Hughesberg,76566,807,3426,8,Yes,22,Excellent,6–10 Years,60k–79k,1,Low
Leslie Kane,Garciamouth,57460,315,48346,9,No,1,Poor,6–10 Years,40k–59k,0,Medium
Matthew Moore,Harringtonview,117841,646,41845,25,Yes,3,Fair,10+ Years,100k+,1,Medium
Sarah Phelps,Finleyfort,64993,336,41465,4,No,2,Poor,3–5 Years,60k–79k,0,Medium
Michael Mitchell,Lake Christopher,121988,400,42533,6,No,3,Poor,6–10 Years,100k+,0,Medium
Michael Berger,West Lauraport,119593,667,25565,27,Yes,5,Fair,10+ Years,100k+,1,Medium
Joseph Knight,East Gregory,114939,691,41613,15,Yes,3,Fair,10+ Years,100k+,1,Medium
Mr. David Little MD,Port Stevenport,39358,461,5840,28,No,7,Poor,10+ Years,<40k,0,Medium
Victoria Evans,Vaughnmouth,109840,609,14055,24,Yes,8,Fair,10+ Years,100k+,1,Medium
Ashley James,Baileyport,113227,322,44137,25,No,3,Poor,10+ Years,100k+,0,Medium
Keith Jennings,New Julieport,52431,535,40784,22,No,1,Poor,10+ Years,40k–59k,0,Medium
Connor King,Lake Colton,100010,340,21246,28,No,5,Poor,10+ Years,100k+,0,Medium
Jacob Anderson,Markchester,125568,479,14159,8,No,9,Poor,6–10 Years,100k+,0,Medium
Sherri Diaz,Mariaview,62087,793,20342,21,Yes,3,Excellent,10+ Years,60k–79k,1,Low
Julie Jones,Port Erica,51417,706,37524,23,Yes,1,Good,10+ Years,40k–59k,1,Medium
James Baker,South Miguelview,90589,690,42847,23,Yes,2,Fair,10+ Years,80k–99k,1,Medium
David Johnson,Rosebury,79735,364,42641,29,No,2,Poor,10+ Years,60k–79k,0,Medium
Elizabeth Ortiz,North Sophia,65382,611,33284,7,No,2,Fair,6–10 Years,60k–79k,0,Medium
Stephen Taylor,Watsonside,113886,729,39491,9,Yes,3,Good,6–10 Years,100k+,1,Low
Mary Bass,Crosbyview,120198,333,46238,23,No,3,Poor,10+ Years,100k+,0,Medium
Jeremy Young,Corystad,103000,667,4968,25,Yes,21,Fair,10+ Years,100k+,1,Medium
Walter Rush,Davisborough,58785,321,4314,21,No,14,Poor,10+ Years,40k–59k,0,Medium
Cameron Cunningham,Port Kathyborough,119733,521,16269,21,No,7,Poor,10+ Years,100k+,0,Medium
Rachel Carlson,Micheleberg,72504,433,36403,16,No,2,Poor,10+ Years,60k–79k,0,Medium
Ashley Delacruz,North Michael,140474,543,39591,20,No,4,Poor,10+ Years,100k+,0,Medium
Derek Martinez,Foxland,130704,787,30378,23,Yes,4,Excellent,10+ Years,100k+,1,Low
Ashley Gordon,Lake Kristahaven,131711,608,31018,1,No,4,Fair,0–2 Years,100k+,0,Medium
John Morales,South Jennifermouth,37331,375,6294,20,No,6,Poor,10+ Years,<40k,0,Medium
Ana Hill,Oscarhaven,60021,601,30734,32,No,2,Fair,10+ Years,60k–79k,0,Medium
Annette Miles,South Shannon,137715,533,28119,21,No,5,Poor,10+ Years,100k+,0,Medium
Jennifer Blair,Ronaldview,34207,683,11003,30,No,3,Fair,10+ Years,<40k,0,Medium
Ronald Davis,Lake Joanneberg,135518,361,39434,35,No,3,Poor,10+ Years,100k+,0,Medium
Meagan Jenkins,Parrishton,71347,594,40348,19,No,2,Poor,10+ Years,60k–79k,0,Medium
Kenneth Lewis,Walkerville,82581,658,37455,23,No,2,Fair,10+ Years,80k–99k,0,Medium
Donald Perez,Bruceside,65093,326,40911,17,No,2,Poor,10+ Years,60k–79k,0,Medium
Donald Farmer,Michaelburgh,38675,446,38114,25,No,1,Poor,10+ Years,<40k,0,Medium
Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,Yes,2,Good,10+ Years,40k–59k,1,Low
Eric Nguyen,North Ericton,149686,383,18832,28,No,8,Poor,10+ Years,100k+,0,Medium
Karla Ramos,Jasonhaven,104341,416,23621,27,No,4,Poor,10+ Years,100k+,0,Medium
Michael Watkins,Brandonfurt,144867,356,1503,13,Yes,96,Poor,10+ Years,100k+,1,Medium
Daniel Taylor,Keithville,124098,307,33596,27,No,4,Poor,10+ Years,100k+,0,Medium
James Padilla,Charleston,71245,746,2228,29,Yes,32,Good,10+ Years,60k–79k,1,Low
Shannon Johnston,Mckinneychester,57869,596,8548,25,Yes,7,Poor,10+ Years,40k–59k,1,Medium
Frederick Solis,Collierstad,115909,390,29620,6,No,4,Poor,6–10 Years,100k+,0,Medium
Kevin Warren,Harrellmouth,95435,526,22827,10,No,4,Poor,6–10 Years,80k–99k,0,Medium
Mark Schmidt,Port Michael,81856,451,16484,6,No,5,Poor,6–10 Years,80k–99k,0,Medium
Craig Morrison,East Stephaniefort,145957,775,37944,37,Yes,4,Excellent,10+ Years,100k+,1,Low
Thomas Cunningham,Michellemouth,149871,454,29820,4,No,5,Poor,3–5 Years,100k+,0,Medium
Mark Hogan,West Williamport,114259,772,30616,2,Yes,4,Excellent,0–2 Years,100k+,1,Low
Ronald Jones,New Brookefurt,90142,773,39032,35,Yes,2,Excellent,10+ Years,80k–99k,1,Low
Nancy Williams,West Cassidy,48726,813,10886,3,Yes,4,Excellent,3–5 Years,40k–59k,1,Low
Robert Monroe,New Debbieton,64718,553,47374,28,No,1,Poor,10+ Years,60k–79k,0,Medium
Kelly Bishop MD,Paulmouth,48301,353,42345,21,No,1,Poor,10+ Years,40k–59k,0,Medium
Brandon Gregory,Johnathanberg,62325,641,6341,37,Yes,10,Fair,10+ Years,60k–79k,1,Medium
Sydney Collins,Andersonland,127647,617,37629,24,Yes,3,Fair,10+ Years,100k+,1,Medium
Erin Anderson,Lake Ellenhaven,103579,670,2194,23,Yes,47,Fair,10+ Years,100k+,1,Medium
Trevor Peterson,Leeberg,100644,458,6057,18,Yes,17,Poor,10+ Years,100k+,1,Medium
Ashley Wise,Lake Matthewberg,64438,685,11109,10,Yes,6,Fair,6–10 Years,60k–79k,1,Medium
Michael Weber,Lake Samuel,127912,720,24874,15,Yes,5,Good,10+ Years,100k+,1,Low
Lisa Goodwin,Youngbury,106622,616,31737,12,Yes,3,Fair,10+ Years,100k+,1,Medium
Travis Joyce,Hammondfurt,86155,814,35567,26,Yes,2,Excellent,10+ Years,80k–99k,1,Low
Ruth Solis,Port John,147679,792,25327,35,Yes,6,Excellent,10+ Years,100k+,1,Low
Michelle Black,West Christopherburgh,106484,579,30446,32,No,3,Poor,10+ Years,100k+,0,Medium
Jeffrey Potts,Port Shannon,82350,657,2747,26,Yes,30,Fair,10+ Years,80k–99k,1,Medium
Jonathan Young,West Jeffreymouth,77447,401,47838,21,No,2,Poor,10+ Years,60k–79k,0,Medium
Brenda Mitchell,Hortonberg,58746,780,30399,39,Yes,2,Excellent,10+ Years,40k–59k,1,Low
Bobby Scott,New Shelby,48131,840,28738,7,Yes,2,Excellent,6–10 Years,40k–59k,1,Low
Cynthia Martinez,South Danielle,96784,768,5116,7,Yes,19,Excellent,6–10 Years,80k–99k,1,Low
Kathryn Herrera,Lake Douglas,94686,739,1102,39,Yes,86,Good,10+ Years,80k–99k,1,Low
Kenneth Lopez,New Theresaland,41915,838,36656,32,Yes,1,Excellent,10+ Years,40k–59k,1,Medium
Katie Smith,Williamsfurt,129061,682,17623,1,Yes,7,Fair,0–2 Years,100k+,1,Medium
Austin Allen,Port Bonniemouth,36175,436,3905,22,No,9,Poor,10+ Years,<40k,0,Medium
Robin Thompson,Pollardfort,142866,486,9837,4,No,15,Poor,3–5 Years,100k+,0,Medium
Terri Johnson,North Kylie,44371,342,21682,19,No,2,Poor,10+ Years,40k–59k,0,Medium
Virginia Daniels,Benjaminborough,50033,592,24394,3,No,2,Poor,3–5 Years,40k–59k,0,Medium
Evelyn Martinez,Samuelfurt,112240,750,26339,21,Yes,4,Excellent,10+ Years,100k+,1,Low
Kathleen Jimenez,Lauriechester,50969,380,29220,38,No,2,Poor,10+ Years,40k–59k,0,Medium
Catherine Carter MD,Donnaport,133819,756,40493,27,Yes,3,Excellent,10+ Years,100k+,1,Low
Jeremy West,Christinachester,119192,581,42908,3,No,3,Poor,3–5 Years,100k+,0,Medium
Mark Cox,North Douglas,85333,748,3280,8,Yes,26,Good,6–10 Years,80k–99k,1,Low
Richard Diaz,Herrington,108172,457,45503,28,No,2,Poor,10+ Years,100k+,0,Medium
Jacqueline Hines,New Michael,38326,621,43569,17,No,1,Fair,10+ Years,<40k,0,Medium
Brian Fitzgerald,Holmesside,80432,420,18155,16,No,4,Poor,10+ Years,80k–99k,0,Medium
Cindy Carr,Gonzalezberg,80019,375,30625,11,No,3,Poor,10+ Years,80k–99k,0,Medium
Jill Miller,Elizabethland,108104,597,20657,10,Yes,5,Poor,6–10 Years,100k+,1,Medium
Tammy Little,Williamville,91348,505,10101,15,No,9,Poor,10+ Years,80k–99k,0,Medium
Allison Spencer,Tannerside,99352,432,41104,5,No,2,Poor,3–5 Years,80k–99k,0,Medium
James Love,Foxchester,62953,375,9213,20,No,7,Poor,10+ Years,60k–79k,0,Medium
Joanna Frazier,Davidside,102512,486,9456,27,Yes,11,Poor,10+ Years,100k+,1,Medium
Sheena Guerra,West Fred,142824,630,47486,14,Yes,3,Fair,10+ Years,100k+,1,Medium
Todd Jacobson,West Jamesside,31504,581,9203,40,No,3,Poor,10+ Years,<40k,0,Medium
Joseph Shaw,New Shelly,119166,457,12219,39,No,10,Poor,10+ Years,100k+,0,Medium
Lisa Kirby,Port Michelleland,124466,346,43038,36,No,3,Poor,10+ Years,100k+,0,Medium
Daniel Armstrong,South Pamelaside,45014,596,43068,19,No,1,Poor,10+ Years,40k–59k,0,Medium
Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,Yes,4,Good,10+ Years,100k+,1,Low
Lawrence Edwards,Jessicastad,145970,708,9569,23,Yes,15,Good,10+ Years,100k+,1,Low
Ashley Allen,West Shannonberg,100381,399,4316,18,Yes,23,Poor,10+ Years,100k+,1,Medium
Sharon Barnes,Port Mark,128419,620,13440,10,Yes,10,Fair,6–10 Years,100k+,1,Medium
Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,No,2,Poor,10+ Years,60k–79k,0,Medium
Douglas Harper,Mitchelltown,130741,410,29241,8,No,4,Poor,6–10 Years,100k+,0,Medium
Monica Gallagher,Brandonton,114012,499,24758,35,No,5,Poor,10+ Years,100k+,0,Medium
James Cole,Marciaville,74587,431,7336,25,No,10,Poor,10+ Years,60k–79k,0,Medium
William Grant,Kariborough,44621,821,27305,32,Yes,2,Excellent,10+ Years,40k–59k,1,Low
Andrew Reeves,Stoneberg,68469,827,10160,20,Yes,7,Excellent,10+ Years,60k–79k,1,Low
Emily Long,Brittneyhaven,86985,821,35887,31,Yes,2,Excellent,10+ Years,80k–99k,1,Low
Elizabeth Cabrera,Markville,50730,726,39253,19,Yes,1,Good,10+ Years,40k–59k,1,Medium
Molly Watts,New Thomasshire,89470,533,48277,3,No,2,Poor,3–5 Years,80k–99k,0,Medium
Carolyn Fuller,Hernandezbury,30425,332,38523,7,No,1,Poor,6–10 Years,<40k,0,Medium
Jeremy Barnes,Vaughnchester,124646,813,41073,30,Yes,3,Excellent,10+ Years,100k+,1,Low
Nancy Brown,New Jared,144799,632,44399,30,Yes,3,Fair,10+ Years,100k+,1,Medium
Emily Thompson,Amyview,124329,795,13600,15,Yes,9,Excellent,10+ Years,100k+,1,Low
Edwin David,Kellieborough,64522,800,21777,30,Yes,3,Excellent,10+ Years,60k–79k,1,Low
Timothy Pope,Keithshire,95612,688,26856,22,Yes,4,Fair,10+ Years,80k–99k,1,Medium
Regina Roberts,Stephanieland,129871,654,29991,16,Yes,4,Fair,10+ Years,100k+,1,Medium
Cindy Clayton,Sarahview,53416,440,8158,39,No,7,Poor,10+ Years,40k–59k,0,Medium
Cynthia Williams,Lake Jesse,96542,402,28086,21,No,3,Poor,10+ Years,80k–99k,0,Medium
Ashlee Townsend,New Tiffanyburgh,149619,716,43787,30,Yes,3,Good,10+ Years,100k+,1,Low
Curtis Maynard,Justinton,43947,391,43749,36,No,1,Poor,10+ Years,40k–59k,0,Medium
Parker Jefferson,East Robertburgh,144100,337,27017,31,No,5,Poor,10+ Years,100k+,0,Medium
Paul Brennan,Nancytown,111959,605,38221,38,Yes,3,Fair,10+ Years,100k+,1,Medium
William Mitchell,Smallberg,69117,816,31672,17,Yes,2,Excellent,10+ Years,60k–79k,1,Low
Brian Martin,Wongburgh,140319,314,49274,21,No,3,Poor,10+ Years,100k+,0,Medium
Laura Todd,New Melissa,113748,715,29029,32,Yes,4,Good,10+ Years,100k+,1,Low
James Davis,South Marcus,96540,554,1447,16,No,67,Poor,10+ Years,80k–99k,0,Medium
Jeremy Adams,Kevinshire,109818,311,18141,23,No,6,Poor,10+ Years,100k+,0,Medium
Amy Wilson,Erikhaven,56071,618,46238,7,No,1,Fair,6–10 Years,40k–59k,0,Medium
Teresa Richardson,East Susan,50032,789,11039,29,Yes,5,Excellent,10+ Years,40k–59k,1,Low
Lisa Perry,Toddborough,79009,553,45586,38,No,2,Poor,10+ Years,60k–79k,0,Medium
Angela Griffin,Christianshire,129943,414,5047,35,Yes,26,Poor,10+ Years,100k+,1,Medium
Christina Herrera,West Melissa,51174,752,8617,13,Yes,6,Excellent,10+ Years,40k–59k,1,Low
Katherine Nolan,Stokesmouth,100697,435,34636,26,No,3,Poor,10+ Years,100k+,0,Medium
Anthony Ford,Jenniferfurt,132056,560,1197,13,Yes,110,Poor,10+ Years,100k+,1,Medium
Amber Cooper,New Virginialand,99514,783,3079,18,Yes,32,Excellent,10+ Years,80k–99k,1,Low
Randy Cannon,Brooksfurt,30074,759,25739,24,Yes,1,Excellent,10+ Years,<40k,1,Medium
Victor Baxter,Lake Michelle,108504,421,12696,34,No,9,Poor,10+ Years,100k+,0,Medium
Cameron Irwin,Port Andrewport,72487,774,45138,34,Yes,2,Excellent,10+ Years,60k–79k,1,Low
James Hall,Reedview,94042,493,48515,7,No,2,Poor,6–10 Years,80k–99k,0,Medium
Matthew Mendez,East Jamieville,32552,334,30257,38,No,1,Poor,10+ Years,<40k,0,Medium
Shelby Sanchez,South Scottside,44662,522,4699,8,No,10,Poor,6–10 Years,40k–59k,0,Medium
Donna Cabrera,Barbaramouth,77576,542,20776,9,No,4,Poor,6–10 Years,60k–79k,0,Medium
Ms. Jennifer Hill,Lake Erika,145175,807,4072,22,Yes,36,Excellent,10+ Years,100k+,1,Low
Megan Floyd,Heatherchester,139008,452,20653,24,No,7,Poor,10+ Years,100k+,0,Medium
Joshua Allen,West Meredith,135745,447,31344,3,No,4,Poor,3–5 Years,100k+,0,Medium
Tracy Grant,South John,70306,508,22644,5,No,3,Poor,3–5 Years,60k–79k,0,Medium
Sarah Davis,North Joseph,61385,340,5769,12,No,11,Poor,10+ Years,60k–79k,0,Medium
Laurie Powers,South Jason,37592,640,20869,0,No,2,Fair,0–2 Years,<40k,0,Medium
Colton Figueroa,Rochaborough,61571,706,16684,35,Yes,4,Good,10+ Years,60k–79k,1,Low
Douglas Owens,Kylestad,145082,825,33589,29,Yes,4,Excellent,10+ Years,100k+,1,Low
William Harrison,Robinstad,104364,620,28127,2,No,4,Fair,0–2 Years,100k+,0,Medium
Connie Thomas,Angelashire,40322,727,20345,9,No,2,Good,6–10 Years,40k–59k,0,Low
David Hudson,South Andrea,41226,645,17864,31,No,2,Fair,10+ Years,40k–59k,0,Medium
Maria Henry,Lake Laura,125932,473,10172,34,Yes,12,Poor,10+ Years,100k+,1,Medium
Thomas Weaver DDS,New Arthurland,93699,349,1418,26,No,66,Poor,10+ Years,80k–99k,0,Medium
Mark Jones,North Jeffery,136957,766,25458,3,Yes,5,Excellent,3–5 Years,100k+,1,Low
Mary Jensen,Hopkinstown,39071,306,35879,35,No,1,Poor,10+ Years,<40k,0,Medium
Alan Bowen,Andrechester,129693,483,8013,6,No,16,Poor,6–10 Years,100k+,0,Medium
Daisy Harvey,Lisaview,99822,706,6178,23,Yes,16,Good,10+ Years,80k–99k,1,Low
Judy Sanchez,West Gabriella,130379,382,43843,2,No,3,Poor,0–2 Years,100k+,0,Medium
James Tran,Lake Albertburgh,46483,384,33758,27,No,1,Poor,10+ Years,40k–59k,0,Medium
Erin Madden,New Samanthabury,46828,516,46369,36,No,1,Poor,10+ Years,40k–59k,0,Medium
Anthony Jones,Rachelshire,116474,333,12754,20,No,9,Poor,10+ Years,100k+,0,Medium
Daniel Thomas,Hickmanport,92296,466,37959,15,No,2,Poor,10+ Years,80k–99k,0,Medium
Sarah Rhodes,Patrickberg,102063,380,33819,22,No,3,Poor,10+ Years,100k+,0,Medium
Jeffrey Roberson,Cassiefurt,51643,634,2941,40,Yes,18,Fair,10+ Years,40k–59k,1,Medium
Willie Henry,Angelafurt,64741,742,13172,37,Yes,5,Good,10+ Years,60k–79k,1,Low
Angelica Montgomery,Lake Charles,99163,574,11107,24,No,9,Poor,10+ Years,80k–99k,0,Medium
Madison Singh,Michaelland,144351,305,21202,28,No,7,Poor,10+ Years,100k+,0,Medium
Derrick Anderson,South Shane,109507,824,27741,6,Yes,4,Excellent,6–10 Years,100k+,1,Low
Hector Davis,Michelletown,85461,598,28119,24,Yes,3,Poor,10+ Years,80k–99k,1,Medium
Misty Hansen,New Adriana,57760,689,12108,8,Yes,5,Fair,6–10 Years,40k–59k,1,Medium
Derrick Thomas,South Joshua,100686,606,32734,4,No,3,Fair,3–5 Years,100k+,0,Medium
Tony Le,Wheelerborough,128994,768,8010,8,Yes,16,Excellent,6–10 Years,100k+,1,Low
Travis Cook,Brockmouth,125673,750,22937,27,Yes,5,Excellent,10+ Years,100k+,1,Low
